date,global,north,south
185001,-0.46,-0.76,-0.15
185002,-0.21,-0.30,-0.12
185003,-0.22,-0.27,-0.16
185004,-0.36,-0.62,-0.09
185005,-0.30,-0.51,-0.09
185006,-0.08,-0.18,0.01
185007,-0.04,-0.08,0.01
185008,0.00,-0.01,0.02
185009,-0.10,-0.15,-0.05
185010,-0.34,-0.54,-0.14
185011,-0.20,-0.35,-0.05
185012,-0.04,-0.06,-0.02
185101,-0.17,-0.35,0.00
185102,-0.07,-0.10,-0.04
185103,-0.24,-0.45,-0.04
185104,-0.35,-0.46,-0.24
185105,-0.27,-0.28,-0.27
185106,-0.14,-0.19,-0.09
185107,0.06,0.04,0.09
185108,0.10,-0.05,0.24
185109,0.04,-0.06,0.15
185110,0.12,0.12,0.13
185111,-0.09,-0.20,0.03
185112,-0.06,-0.03,-0.09
185201,-0.02,0.10,-0.14
185202,-0.24,-0.21,-0.26
185203,-0.41,-0.60,-0.21
185204,-0.33,-0.42,-0.23
185205,-0.11,-0.10,-0.11
185206,0.11,0.08,0.14
185207,0.07,0.07,0.07
185208,0.13,0.10,0.15
185209,0.07,0.05,0.08
185210,0.06,-0.03,0.15
185211,0.03,-0.15,0.21
185212,0.01,-0.01,0.04
185301,-0.12,-0.15,-0.10
185302,-0.25,-0.31,-0.19
185303,-0.22,-0.31,-0.12
185304,-0.28,-0.32,-0.24
185305,-0.10,-0.08,-0.11
185306,0.00,0.00,0.01
185307,0.11,0.12,0.11
185308,0.02,-0.01,0.05
185309,-0.07,-0.13,0.00
185310,-0.12,-0.18,-0.06
185311,-0.17,-0.24,-0.10
185312,-0.10,0.01,-0.21
185401,-0.28,-0.41,-0.15
185402,-0.19,-0.19,-0.19
185403,-0.02,0.04,-0.09
185404,-0.13,-0.09,-0.17
185405,-0.10,-0.12,-0.08
185406,-0.07,-0.11,-0.03
185407,-0.01,0.07,-0.08
185408,-0.06,0.02,-0.14
185409,-0.05,-0.02,-0.08
185410,0.05,0.15,-0.05
185411,0.01,0.18,-0.16
185412,0.04,0.21,-0.13
185501,-0.08,0.00,-0.16
185502,-0.08,-0.02,-0.14
185503,-0.05,0.03,-0.14
185504,-0.08,0.06,-0.22
185505,-0.09,-0.06,-0.13
185506,-0.07,-0.07,-0.07
185507,-0.13,-0.17,-0.08
185508,-0.10,-0.19,-0.01
185509,-0.09,-0.17,0.00
185510,0.00,-0.01,0.01
185511,-0.09,-0.13,-0.05
185512,-0.11,-0.20,-0.03
185601,0.18,0.36,0.00
185602,-0.02,0.01,-0.05
185603,-0.12,-0.15,-0.09
185604,-0.21,-0.23,-0.18
185605,-0.22,-0.23,-0.21
185606,-0.03,-0.07,0.02
185607,-0.14,-0.23,-0.05
185608,-0.26,-0.47,-0.06
185609,-0.23,-0.32,-0.13
185610,-0.41,-0.59,-0.23
185611,-0.21,-0.27,-0.15
185612,-0.12,-0.01,-0.22
185701,-0.15,-0.05,-0.24
185702,-0.34,-0.32,-0.37
185703,-0.18,-0.06,-0.29
185704,-0.29,-0.38,-0.19
185705,-0.35,-0.42,-0.28
185706,-0.19,-0.26,-0.12
185707,-0.16,-0.21,-0.12
185708,-0.17,-0.25,-0.09
185709,-0.18,-0.29,-0.07
185710,-0.20,-0.34,-0.07
185711,-0.16,-0.22,-0.09
185712,0.02,0.20,-0.15
185801,-0.13,-0.10,-0.15
185802,-0.23,-0.24,-0.21
185803,-0.11,-0.14,-0.08
185804,-0.18,-0.17,-0.19
185805,-0.38,-0.51,-0.25
185806,-0.18,-0.32,-0.04
185807,-0.15,-0.28,-0.01
185808,-0.15,-0.34,0.05
185809,-0.21,-0.43,0.00
185810,-0.13,-0.18,-0.09
185811,-0.16,-0.19,-0.13
185812,-0.20,-0.24,-0.17
185901,-0.15,-0.15,-0.16
185902,-0.06,-0.03,-0.09
185903,-0.01,0.12,-0.14
185904,-0.04,0.10,-0.17
185905,0.03,0.07,-0.01
185906,-0.04,0.01,-0.08
185907,-0.14,-0.18,-0.10
185908,-0.02,-0.02,-0.02
185909,-0.14,-0.20,-0.09
185910,-0.14,-0.22,-0.05
185911,-0.07,-0.06,-0.08
185912,0.13,0.08,0.18
186001,-0.13,-0.29,0.03
186002,-0.19,-0.38,0.00
186003,-0.21,-0.44,0.02
186004,-0.21,-0.27,-0.14
186005,-0.26,-0.26,-0.27
186006,-0.14,-0.17,-0.12
186007,-0.22,-0.40,-0.04
186008,-0.17,-0.39,0.05
186009,-0.24,-0.37,-0.12
186010,-0.28,-0.39,-0.16
186011,-0.28,-0.27,-0.30
186012,-0.46,-0.60,-0.31
186101,-0.62,-0.87,-0.38
186102,-0.52,-0.69,-0.34
186103,-0.28,-0.30,-0.27
186104,-0.32,-0.37,-0.27
186105,-0.39,-0.46,-0.31
186106,-0.25,-0.27,-0.23
186107,-0.16,-0.09,-0.22
186108,-0.14,-0.17,-0.11
186109,-0.13,-0.21,-0.06
186110,-0.28,-0.45,-0.11
186111,-0.10,-0.13,-0.08
186112,-0.24,-0.37,-0.11
186201,-0.44,-0.68,-0.20
186202,-0.48,-0.70,-0.27
186203,-0.37,-0.63,-0.10
186204,-0.42,-0.73,-0.11
186205,-0.41,-0.61,-0.21
186206,-0.22,-0.39,-0.06
186207,-0.28,-0.39,-0.17
186208,-0.28,-0.33,-0.24
186209,-0.28,-0.36,-0.20
186210,-0.36,-0.62,-0.11
186211,-0.22,-0.42,-0.02
186212,-0.45,-0.78,-0.12
186301,-0.13,-0.13,-0.13
186302,-0.25,-0.36,-0.14
186303,-0.13,-0.14,-0.13
186304,-0.16,-0.12,-0.19
186305,-0.24,-0.24,-0.24
186306,-0.18,-0.23,-0.13
186307,-0.24,-0.30,-0.17
186308,-0.21,-0.25,-0.16
186309,-0.31,-0.40,-0.21
186310,-0.28,-0.42,-0.15
186311,-0.18,-0.14,-0.22
186312,-0.20,-0.33,-0.07
186401,-0.33,-0.52,-0.15
186402,-0.25,-0.34,-0.17
186403,-0.21,-0.27,-0.14
